weight,name,tags,path
0,Margin of error for Some Other Race Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005F/moe/B16005F001.json
0,Margin of error for Native in Some Other Race Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005F/moe/B16005F002.json
0,Margin of error for Speak only English Native Nativity in Some Other Race Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005F/moe/B16005F003.json
0,Margin of error for Speak another language Native Nativity in Some Other Race Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005F/moe/B16005F004.json
0,"Margin of error for Speak English ""very well"" Native Nativity Speak another language Language Spoken at Home in Some Other Race Alone Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005F/moe/B16005F005.json
0,"Margin of error for Speak English less than ""very well"" Native Nativity Speak another language Language Spoken at Home in Some Other Race Alone Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005F/moe/B16005F006.json
0,Margin of error for Foreign born in Some Other Race Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005F/moe/B16005F007.json
0,Margin of error for Speak only English Foreign born Nativity in Some Other Race Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005F/moe/B16005F008.json
0,Margin of error for Speak another language Foreign born Nativity in Some Other Race Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005F/moe/B16005F009.json
0,"Margin of error for Speak English ""very well"" Foreign born Nativity Speak another language Language Spoken at Home in Some Other Race Alone Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005F/moe/B16005F010.json
0,"Margin of error for Speak English less than ""very well"" Foreign born Nativity Speak another language Language Spoken at Home in Some Other Race Alone Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005F/moe/B16005F011.json
