weight,name,tags,path
1,Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026001.json
1,Owner occupied in Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026002.json
1,Moved in 2005 or later Owner occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026003.json
1,Moved in 2000 to 2004 Owner occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026004.json
1,Moved in 1990 to 1999 Owner occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026005.json
1,Moved in 1980 to 1989 Owner occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026006.json
1,Moved in 1970 to 1979 Owner occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026007.json
1,Moved in 1969 or earlier Owner occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026008.json
1,Renter occupied in Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026009.json
1,Moved in 2005 or later Renter occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026010.json
1,Moved in 2000 to 2004 Renter occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026011.json
1,Moved in 1990 to 1999 Renter occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026012.json
1,Moved in 1980 to 1989 Renter occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026013.json
1,Moved in 1970 to 1979 Renter occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026014.json
1,Moved in 1969 or earlier Renter occupied Total Population in Occupied Housing Units,housing|sex|families|age|tenure,data/columns/us/census/acs/B25026/B25026015.json
